ABIEALB;ABIEGRA;ABIENOR;ACERGRA;ACERPET;ALNUGLU;BETUSPP;CARPBET;CASTSAT;CEDRATL;CUPRSEM;FAGUSIL;FRAXSPP;JUGLSPP;LARIDEC;LARIKAE;PICEEXC;PICESIT;PINUBRU;PINUCEM;PINUHAL;PINULAR;PINUNIG;PINUPINA;PINUPINE;PINURAD;PINUSTR;PINUSYL;PINUTAE;PINUUNC;PLATHYB;POPUCUL;POPUTRE;PRUNAVI;PSEUMEN;QUERILE;QUERPAT;QUERPUB;QUERPYR;QUERROB;QUERRUB;QUERSUB;SORBARI;SORBAUC;SORBDOM;SORBTOR;TAXABAC;THUJPLI;TILISPP;TSUGHET;ULMUSPP
CUPRSEM;3;3;3;5;5;5;5;5;5;3;0;5;5;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;3;2;5;3;5
FAGUSIL;5;5;5;4;4;3;3;3;2;5;5;0;4;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;2;2;2;2;2;2;2;4;4;4;4;5;5;4;5;4
FRAXSPP;5;5;5;4;4;4;4;4;4;5;5;4;0;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;5;5;4;5;4
JUGLSPP;5;5;5;4;4;3;3;3;3;5;5;3;4;0;5;5;5;5;5;5;5;5;0;5;5;5;5;5;5;5;4;4;4;4;5;3;3;3;3;3;3;3;4;4;4;4;5;5;4;5;4
LARIDEC;2;2;2;5;5;5;5;5;5;2;3;5;5;5;0;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;3;3;5;2;5
LARIKAE;2;2;2;5;5;5;5;5;5;2;3;5;5;5;1;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;3;3;5;2;5
PICEEXC;2;2;2;5;5;5;5;5;5;2;3;5;5;5;2;2;0;1;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;3;3;5;2;5
PICESIT;2;2;2;5;5;5;5;5;5;2;3;5;5;5;2;2;1;0;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;3;3;5;2;5
PINUBRU;2;2;2;5;5;5;5;5;5;2;3;5;5;5;2;2;2;2;0;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;3;3;5;2;5
PINUCEM;2;2;2;5;5;5;5;5;5;2;3;5;5;5;2;2;2;2;1;0;1;1;1;1;1;1;1;1;1;1;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;3;3;5;2;5
PINUHAL;2;2;2;5;5;5;5;5;5;2;3;5;5;5;2;2;2;2;1;1;0;1;1;1;1;1;1;1;1;1;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;3;3;5;2;5
PINULAR;2;2;2;5;5;5;5;5;5;2;3;5;5;5;2;2;2;2;1;1;1;0;1;1;1;1;1;1;1;1;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;3;3;5;2;5
PINUNIG;2;2;2;5;5;5;5;5;5;2;3;5;5;0;2;2;2;2;1;1;1;1;0;1;1;1;1;1;1;1;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;3;3;5;2;5
PINUPINA;2;2;2;5;5;5;5;5;5;2;3;5;5;5;2;2;2;2;1;1;1;1;1;0;1;1;1;1;1;1;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;3;3;5;2;5
PINUPINE;2;2;2;5;5;5;5;5;5;2;3;5;5;5;2;2;2;2;1;1;1;1;1;1;0;1;1;1;1;1;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;3;3;5;2;5
PINURAD;2;2;2;5;5;5;5;5;5;2;3;5;5;5;2;2;2;2;1;1;1;1;1;1;1;0;1;1;1;1;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;3;3;5;2;5
PINUSTR;2;2;2;5;5;5;5;5;5;2;3;5;5;5;2;2;2;2;1;1;1;1;1;1;1;1;0;1;1;1;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;3;3;5;2;5
PINUSYL;2;2;2;5;5;5;5;5;5;2;3;5;5;5;2;2;2;2;1;1;1;1;1;1;1;1;1;0;1;1;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;3;3;5;2;5
PINUTAE;2;2;2;5;5;5;5;5;5;2;3;5;5;5;2;2;2;2;1;1;1;1;1;1;1;1;1;1;0;1;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;3;3;5;2;5
PINUUNC;2;2;2;5;5;5;5;5;5;2;3;5;5;5;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;0;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;3;3;5;2;5
PLATHYB;5;5;5;4;4;4;4;4;4;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;5;5;4;5;4
POPUCUL;5;5;5;4;4;4;4;4;4;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;0;1;4;5;4;4;4;4;4;4;4;4;4;4;4;5;5;4;5;4
POPUTRE;5;5;5;4;4;4;4;4;4;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;1;0;4;5;4;4;4;4;4;4;4;4;4;4;4;5;5;4;5;4
PRUNAVI;5;5;5;4;4;4;4;4;4;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;0;5;4;4;4;4;4;4;4;2;2;2;2;5;5;4;5;3
PSEUMEN;2;2;2;5;5;5;5;5;5;2;3;5;5;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;0;5;5;5;5;5;5;5;5;5;5;5;3;3;5;2;5
QUERILE;5;5;5;4;4;3;3;3;2;5;5;2;4;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;0;1;1;1;1;1;1;4;4;4;4;5;5;4;5;4
QUERPAT;5;5;5;4;4;3;3;3;2;5;5;2;4;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;1;0;1;1;1;1;1;4;4;4;4;5;5;4;5;4
QUERPUB;5;5;5;4;4;3;3;3;2;5;5;2;4;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;1;1;0;1;1;1;1;4;4;4;4;5;5;4;5;4
QUERPYR;5;5;5;4;4;3;3;3;2;5;5;2;4;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;1;1;1;0;1;1;1;4;4;4;4;5;5;4;5;4
QUERROB;5;5;5;4;4;3;3;3;2;5;5;2;4;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;1;1;1;1;0;1;1;4;4;4;4;5;5;4;5;4
QUERRUB;5;5;5;4;4;3;3;3;2;5;5;2;4;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;1;1;1;1;1;0;1;4;4;4;4;5;5;4;5;4
QUERSUB;5;5;5;4;4;3;3;3;2;5;5;2;4;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;1;1;1;1;1;1;0;4;4;4;4;5;5;4;5;4
SORBARI;5;5;5;4;4;4;4;4;4;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;2;5;4;4;4;4;4;4;4;0;1;1;1;5;5;4;5;3
SORBAUC;5;5;5;4;4;4;4;4;4;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;2;5;4;4;4;4;4;4;4;1;0;1;1;5;5;4;5;3
SORBDOM;5;5;5;4;4;4;4;4;4;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;2;5;4;4;4;4;4;4;4;1;1;0;1;5;5;4;5;3
SORBTOR;5;5;5;4;4;4;4;4;4;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;2;5;4;4;4;4;4;4;4;1;1;1;0;5;5;4;5;3
TAXABAC;3;3;3;5;5;5;5;5;5;3;3;5;5;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;0;3;5;3;5
THUJPLI;3;3;3;5;5;5;5;5;5;3;2;5;5;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;3;0;5;3;5
TILISPP;5;5;5;4;4;4;4;4;4;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;5;5;0;5;4
TSUGHET;2;2;2;5;5;5;5;5;5;2;3;5;5;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;3;3;5;0;5
ULMUSPP;5;5;5;4;4;4;4;4;4;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;3;5;4;4;4;4;4;4;4;3;3;3;3;5;5;4;5;0
